total_value,fee,input_count,output_count,anomaly_score,is_anomaly
140544932,0,73,43,-0.08757821443936975,-1
10229220440,0,31,14,-0.08317774114905296,-1
61799998632,0,3,2,-0.07025896766296391,-1
66218618955,0,2,2,-0.06643319032778461,-1
126784412,0,500,1,-0.06434100920105668,-1
402992,0,301,3,-0.05212079458735286,-1
3238520,0,52,23,-0.05144948846625519,-1
39818322396,0,1,2,-0.04387015840598785,-1
2159287819,0,31,17,-0.0404585507004801,-1
18383627,0,279,1,-0.04033270915552878,-1
55514805,0,180,2,-0.03202060177395083,-1
300969716,0,143,2,-0.027634805414921693,-1
19999998997,0,2,2,-0.025069152014387752,-1
4832987734,0,1,20,-0.022961505815020433,-1
4816174686,0,1,20,-0.022961505815020433,-1
67374365,0,2,190,-0.02028085974395588,-1
964989455,0,60,1,-0.01944494332370683,-1
82252143,0,140,2,-0.019162915948298886,-1
76845056,0,2,156,-0.012545543189118047,-1
77574926,0,3,149,-0.010097639310891915,-1
36950514,0,1,161,-0.007653701246208566,-1
72112591,0,2,152,-0.00593272617423235,-1
15124074402,0,2,2,-0.0043608721429792,-1
265962486,0,17,19,-0.00026665144285198394,-1
